2024-11-30|43801|7280227|win
2024-11-30|43776|4244011|lose
2024-11-30|13019|2932715|win
2024-11-30|43801|6609520|win
2024-11-30|44228|2773303|win
2024-11-30|44294|10832773|win
2024-11-30|12008|2800793|win
2024-11-30|30723|10874763|win
2024-11-30|14349|9979010|lose
2024-11-30|45057|10375230|win
2024-11-30|43801|6346631|lose
2024-11-30|22572|10969103|win
2024-11-30|44231|8615282|lose
2024-11-30|43776|9773857|lose
2024-11-30|14349|9979010|lose
2024-11-30|44552|8716141|win
2024-11-30|43776|9111104|lose
2024-11-30|43488|9845288|lose
2024-11-30|43801|7280227|win
2024-11-30|30723|10104625|win
2024-11-30|14349|10229367|win
2024-11-30|12008|7519582|win
2024-11-30|43776|3672974|lose
2024-11-30|5567|6496151|win
2024-11-30|44231|8645459|win
2024-11-30|44228|2773303|win
2024-11-30|14349|9698741|win
2024-12-01|30723|5379194|lose
2024-12-01|5567|11140950|win
2024-12-01|12008|10905190|win
2024-12-01|12008|7481235|win
2024-12-01|22572|3381204|win
2024-12-01|43776|11223324|lose
2024-12-01|9343|10540772|lose
2024-12-01|9343|11142030|lose
2024-12-01|44387|10919209|timeout
2024-12-01|44841|10099984|timeout
2024-12-01|44208|9881706|timeout
2024-12-01|9130|7518018|win
2024-12-01|43776|3672974|win
2024-12-01|44231|11372304|win
2024-12-01|11059|3119650|win
2024-12-01|43776|5598941|lose
2024-12-01|5567|11140950|win
2024-12-02|12008|11063912|win
2024-12-02|43776|4535318|lose
2024-12-02|14349|3054067|win
2024-12-02|43776|1537978|lose
2024-12-02|9343|5966126|lose
2024-12-02|44231|11330703|lose
2024-12-02|43801|10133952|win
2024-12-02|12008|6100735|win
2024-12-02|43836|8738742|win
2024-12-02|14349|10523651|win
2024-12-02|37251|6168196|win
2024-12-02|44836|7638394|win
2024-12-02|9343|1581619|lose
2024-12-02|13019|4386526|win
2024-12-03|43776|3672974|lose
2024-12-03|43836|4005883|lose
2024-12-03|12008|10412939|win
2024-12-03|44294|9805325|lose
2024-12-03|43776|10871219|lose
2024-12-03|43776|9987938|lose
2024-12-03|44589|4147296|win
2024-12-03|12008|4034247|win
2024-12-03|9343|5188793|lose
2024-12-03|14349|10415387|lose
2024-12-03|30723|1600654|win
2024-12-03|28314|6017337|lose
2024-12-03|43488|10465800|win
2024-12-03|9343|4415839|win
2024-12-03|44231|11345530|win
2024-12-03|9130|7360286|win
2024-12-03|5567|3131980|win
2024-12-03|14349|9666533|lose
2024-12-03|43776|4535318|lose
2024-12-03|40258|11308330|win
2024-12-03|9343|11142030|lose
2024-12-03|44801|10667101|lose
2024-12-03|44231|3962009|win
2024-12-04|44572|10511206|win
2024-12-04|30723|4852329|win
2024-12-04|43776|4397136|lose
2024-12-04|43801|7806242|lose
2024-12-04|43488|7510126|win
2024-12-04|43776|9949910|lose
2024-12-04|43776|11164011|win
2024-12-04|43776|7848722|lose
2024-12-04|44801|10223107|lose
2024-12-04|9343|6709006|lose
2024-12-04|11059|2454720|lose
2024-12-04|44228|8670639|win
2024-12-04|5567|1433057|win
2024-12-04|44890|10785480|win
2024-12-04|30723|6311665|lose
2024-12-04|44801|10667101|lose
2024-12-04|9343|3353487|lose
2024-12-04|9343|3820552|lose
2024-12-05|21|11148509|win
2024-12-05|9343|10808149|lose
2024-12-05|22572|10569485|win
2024-12-05|45143|11250870|win
2024-12-05|30723|7474588|win
2024-12-05|9343|9255709|lose
2024-12-05|43776|11223324|lose
2024-12-05|44572|3477675|win
2024-12-05|43776|5225156|lose
2024-12-05|44552|8735980|win
2024-12-05|14349|990811|lose
2024-12-05|12008|3743252|win
2024-12-05|9343|9070297|lose
2024-12-05|9343|3863792|lose
2024-12-05|43776|4266178|win
2024-12-05|12008|5879598|win
2024-12-05|45143|11250870|win
2024-12-05|44231|6712445|win
2024-12-05|30723|6317612|win
2024-12-05|44294|9878821|win
2024-12-05|43776|11164011|win
2024-12-05|44231|8750980|win
2024-12-05|40636|2646169|win
2024-12-05|44794|10353023|win
2024-12-05|14349|10158202|win
2024-12-06|44228|6272741|win
2024-12-06|30723|6311665|lose
2024-12-06|9343|10034759|win
2024-12-06|13019|2183306|win
2024-12-06|9343|3145262|lose
2024-12-06|43776|1584568|win
2024-12-06|12008|10466059|win
2024-12-06|44231|9613589|win
2024-12-06|9343|1581619|lose
2024-12-06|9343|9824370|win
2024-12-06|14349|10444173|lose
2024-12-06|44794|6525892|lose
2024-12-06|9343|11016854|win
2024-12-06|9343|7835667|win
2024-12-06|17364|1752092|win
2024-12-06|43776|7695801|lose
2024-12-06|12008|10895700|win
2024-12-06|44231|2786222|win
2024-12-06|44572|2594598|lose
2024-12-06|44801|10598016|win
2024-12-06|12008|3095373|lose
2024-12-06|9343|6926556|win
2024-12-06|44231|7366574|win
2024-12-07|43776|4266178|win
2024-12-07|30723|10912113|win
2024-12-07|43776|3688794|lose
2024-12-07|30723|3237021|lose
2024-12-07|9343|9971179|lose
2024-12-07|44552|8735980|win
2024-12-07|44228|7187340|win
2024-12-07|44228|3249547|win
2024-12-07|28436|4365241|win
2024-12-07|43776|9520099|draw
2024-12-07|43801|7806242|lose
2024-12-07|43488|9907597|win
2024-12-07|21|9466098|win
2024-12-07|44572|10307165|win
2024-12-07|28436|4365241|win
2024-12-07|30723|4601840|win
2024-12-07|43776|9722964|lose
2024-12-07|43776|4172981|lose
2024-12-07|22572|5570696|win
2024-12-07|44794|6332933|win
2024-12-07|5567|3982089|win
2024-12-07|44384|5770855|win
2024-12-08|22572|3019629|win
2024-12-08|40258|9594407|lose
2024-12-08|45143|11250870|win
2024-12-08|43776|11223324|lose
2024-12-08|28314|6940196|win
2024-12-08|14349|10403786|win
2024-12-08|9343|4763685|lose
2024-12-08|9343|9778622|lose
2024-12-08|14349|10187884|win
2024-12-08|14349|10691652|win
2024-12-08|43776|4266178|lose
2024-12-08|44231|3962009|win
2024-12-08|28314|6940196|win
2024-12-08|9343|8945793|win
2024-12-08|43776|510396|win
2024-12-08|35055|10932726|win
2024-12-08|13019|2753671|win
